,Id,Code,Name,Class,Standard Concept Caption,Valid Start Date,Valid End Date,RC,DRC,PC,DPC,Domain,Vocabulary
,45609414,V00.811S,"Fall from moving wheelchair (powered), sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45609413,V00.382S,"Pedestrian on other flat-bottomed pedestrian conveyance colliding with stationary object, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45609411,V00.288A,"Other accident on other gliding-type pedestrian conveyance, initial encounter",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Observation,ICD10CM
,45609410,V00.221A,"Fall from sled, initial encounter",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Observation,ICD10CM
,45609409,V00.152S,"Heelies colliding with stationary object, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45609408,V00.138A,"Other skateboard accident, initial encounter",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Observation,ICD10CM
,45609280,T71.161S,"Asphyxiation due to hanging, accidental, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604985,Y27.3XXS,"Contact with hot household appliance, undetermined intent, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604982,Y23.9XXS,"Unspecified larger firearm discharge, undetermined intent, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604948,X17.XXXS,"Contact with hot engines, machinery and tools, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604946,X14.0XXS,"Inhalation of hot air and gases, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604928,W90.2XXS,"Exposure to laser radiation, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604898,W51.XXXA,"Accidental striking against or bumped into by another person, initial encounter",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604894,W45.1XXS,"Paper entering through skin, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2016,0,0,0,0,Condition,ICD10CM
,45604893,W34.10XS,"Accidental malfunction from unspecified firearms or gun, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604892,W34.00XS,"Accidental discharge from unspecified firearms or gun, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604890,W33.11XS,"Accidental malfunction of shotgun, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604888,W31.89XS,"Contact with other specified machinery, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604884,W28.XXXS,"Contact with powered lawn mower, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
